Time;Wind direction (degree);Wind speed (m/s);Eastward Wind (m/s);Northward Wind (m/s)
01/12/1999;292.5;5.88;-5.43;2.25
02/12/1999;266.25;3.43;-3.42;-0.22
03/12/1999;292.6;5.88;-5.43;2.26
04/12/1999;266.26;3.43;-3.42;-0.22
05/12/1999;292.7;5.88;-5.42;2.27
06/12/1999;266.27;3.43;-3.42;-0.22
07/12/1999;292.8;5.88;-5.42;2.28
08/12/1999;266.28;3.43;-3.42;-0.22
09/12/1999;292.9;5.88;-5.42;2.29
10/12/1999;266.29;3.43;-3.42;-0.22
11/12/1999;292.1;5.88;-5.45;2.21
12/12/1999;266.3;3.43;-3.42;-0.22
13/12/1999;292.11;5.88;-5.45;2.21
14/12/1999;266.31;3.43;-3.42;-0.22
15/12/1999;292.12;5.88;-5.45;2.21
16/12/1999;266.32;3.43;-3.42;-0.22
17/12/1999;292.13;5.88;-5.45;2.22
18/12/1999;266.33;3.43;-3.42;-0.22
19/12/1999;292.14;5.88;-5.45;2.22
20/12/1999;266.34;3.43;-3.42;-0.22
21/12/1999;292.15;5.89;-5.46;2.22
22/12/1999;266.35;3.44;-3.43;-0.22
23/12/1999;292.16;5.89;-5.45;2.22
24/12/1999;266.36;3.44;-3.43;-0.22
25/12/1999;292.17;5.89;-5.45;2.22
26/12/1999;266.37;3.44;-3.43;-0.22
27/12/1999;292.18;5.89;-5.45;2.22
28/12/1999;266.38;3.44;-3.43;-0.22
29/12/1999;292.19;5.89;-5.45;2.22
30/12/1999;266.39;3.44;-3.43;-0.22
31/12/1999;292.2;5.89;-5.45;2.23
01/01/2000;266.4;3.44;-3.43;-0.22
02/01/2000;292.21;5.89;-5.45;2.23
03/01/2000;266.41;3.44;-3.43;-0.22
04/01/2000;292.22;5.89;-5.45;2.23
05/01/2000;266.42;3.44;-3.43;-0.21
06/01/2000;292.23;5.89;-5.45;2.23
07/01/2000;266.43;3.44;-3.43;-0.21
08/01/2000;292.24;5.89;-5.45;2.23
09/01/2000;266.44;3.44;-3.43;-0.21
10/01/2000;292.25;5.9;-5.46;2.23
11/01/2000;266.45;3.45;-3.44;-0.21
12/01/2000;292.26;5.9;-5.46;2.23
13/01/2000;266.46;3.45;-3.44;-0.21
14/01/2000;292.27;5.9;-5.46;2.24
15/01/2000;266.47;3.45;-3.44;-0.21
16/01/2000;292.28;5.9;-5.46;2.24
17/01/2000;266.48;3.45;-3.44;-0.21
18/01/2000;292.29;5.9;-5.46;2.24
19/01/2000;266.49;3.45;-3.44;-0.21
20/01/2000;292.3;5.9;-5.46;2.24
21/01/2000;266.5;3.45;-3.44;-0.21
22/01/2000;292.31;5.9;-5.46;2.24
23/01/2000;266.51;3.45;-3.44;-0.21
24/01/2000;292.32;5.9;-5.46;2.24
25/01/2000;266.52;3.45;-3.44;-0.21
26/01/2000;292.33;5.9;-5.46;2.24
27/01/2000;266.53;3.45;-3.44;-0.21
28/01/2000;292.34;5.9;-5.46;2.24
29/01/2000;266.54;3.45;-3.44;-0.21
30/01/2000;292.35;5.91;-5.47;2.25
31/01/2000;266.55;3.46;-3.45;-0.21
